epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,170.647,0.75229,0.43683,0.87329,0.86665,0.7767,0.86237,0.55649,1.1906,0.71095,0.99214,0.0009506,0.0009506,0.0009506
108,172.197,0.74,0.42735,0.87449,0.90596,0.75728,0.87112,0.56827,1.18557,0.69257,0.97733,0.0009407,0.0009407,0.0009407
109,173.741,0.74875,0.44402,0.86702,0.90543,0.75728,0.88161,0.58693,1.17266,0.70796,0.96698,0.0009308,0.0009308,0.0009308
110,175.285,0.79214,0.46788,0.87548,0.89368,0.74757,0.86624,0.56956,1.19435,0.69824,0.98127,0.0009209,0.0009209,0.0009209
111,176.829,0.75498,0.45523,0.8659,0.88531,0.74949,0.86604,0.55511,1.23088,0.70302,0.985,0.000911,0.000911,0.000911
112,178.385,0.78774,0.45268,0.87485,0.86034,0.78641,0.86574,0.56165,1.24445,0.69713,0.99766,0.0009011,0.0009011,0.0009011
113,179.926,0.77337,0.46339,0.87462,0.83704,0.79612,0.87686,0.56504,1.22337,0.68139,0.98077,0.0008912,0.0008912,0.0008912
114,181.472,0.70859,0.42454,0.86213,0.83839,0.82524,0.86162,0.55614,1.22703,0.71883,0.98487,0.0008813,0.0008813,0.0008813
115,183.166,0.74269,0.44708,0.87376,0.83465,0.83312,0.87129,0.54974,1.27057,0.71172,0.99837,0.0008714,0.0008714,0.0008714
116,184.852,0.73241,0.43721,0.86728,0.87802,0.7767,0.86843,0.56229,1.20216,0.67851,0.98057,0.0008615,0.0008615,0.0008615
117,186.652,0.71678,0.4324,0.84798,0.88923,0.76699,0.87427,0.55426,1.23734,0.70465,0.99743,0.0008516,0.0008516,0.0008516
118,188.322,0.73597,0.45168,0.86175,0.87775,0.78641,0.86094,0.54233,1.20148,0.68503,0.98246,0.0008417,0.0008417,0.0008417
119,189.999,0.72466,0.42001,0.86062,0.89809,0.71845,0.84188,0.53563,1.23191,0.78255,0.998,0.0008318,0.0008318,0.0008318
120,191.63,0.74286,0.44014,0.85981,0.81608,0.79612,0.86701,0.55852,1.22919,0.6944,1.00384,0.0008219,0.0008219,0.0008219
121,193.165,0.7235,0.435,0.84977,0.93257,0.69903,0.86386,0.54853,1.27121,0.70506,1.01732,0.000812,0.000812,0.000812
122,194.705,0.71376,0.42365,0.83881,0.82649,0.76699,0.87137,0.55457,1.2554,0.70883,1.00692,0.0008021,0.0008021,0.0008021
123,196.259,0.72179,0.41298,0.84031,0.88115,0.7918,0.8865,0.55586,1.24833,0.68387,1.00104,0.0007922,0.0007922,0.0007922
124,197.81,0.69086,0.41737,0.85554,0.86691,0.75728,0.86223,0.54794,1.26384,0.74164,1.00373,0.0007823,0.0007823,0.0007823
125,199.347,0.70789,0.4241,0.85439,0.86352,0.79859,0.85818,0.5501,1.2683,0.75284,1.00295,0.0007724,0.0007724,0.0007724
126,200.88,0.69995,0.41855,0.85749,0.83796,0.7767,0.84216,0.5485,1.27034,0.72955,1.00926,0.0007625,0.0007625,0.0007625
127,202.413,0.72896,0.42509,0.85261,0.88741,0.71845,0.83219,0.53536,1.27365,0.78696,1.01965,0.0007526,0.0007526,0.0007526
128,203.962,0.75547,0.4439,0.84715,0.82239,0.75728,0.83394,0.5265,1.27199,0.7852,1.01443,0.0007427,0.0007427,0.0007427
129,205.494,0.68839,0.40699,0.83581,0.84153,0.75728,0.83813,0.54006,1.26651,0.76258,1.01532,0.0007328,0.0007328,0.0007328
130,207.031,0.68138,0.40598,0.84865,0.81687,0.81553,0.88874,0.58067,1.21516,0.68413,0.99109,0.0007229,0.0007229,0.0007229
131,208.576,0.70617,0.41001,0.85431,0.7937,0.82177,0.88422,0.57764,1.21115,0.66204,0.98619,0.000713,0.000713,0.000713
132,210.22,0.70339,0.42076,0.85803,0.87238,0.73786,0.8561,0.55338,1.21497,0.71883,0.98834,0.0007031,0.0007031,0.0007031
133,211.763,0.69744,0.42064,0.85373,0.87937,0.71845,0.83928,0.55146,1.23729,0.71527,0.99236,0.0006932,0.0006932,0.0006932
134,213.298,0.66477,0.39807,0.83862,0.88455,0.68932,0.83482,0.54532,1.21265,0.74361,0.99311,0.0006833,0.0006833,0.0006833
135,214.849,0.66915,0.39216,0.8426,0.90713,0.70874,0.84656,0.54748,1.20196,0.75484,1.00361,0.0006734,0.0006734,0.0006734
136,216.404,0.67796,0.40708,0.84471,0.93331,0.66019,0.82909,0.54329,1.21994,0.81267,1.00476,0.0006635,0.0006635,0.0006635
137,217.948,0.65821,0.39072,0.8287,0.79513,0.76699,0.84138,0.55284,1.2043,0.74971,0.98365,0.0006536,0.0006536,0.0006536
138,219.493,0.6641,0.39921,0.84691,0.87721,0.69361,0.83717,0.54672,1.22068,0.76542,0.98975,0.0006437,0.0006437,0.0006437
139,221.032,0.68192,0.41278,0.84006,0.8964,0.71845,0.84511,0.55555,1.18186,0.75183,0.98359,0.0006338,0.0006338,0.0006338
140,222.578,0.66151,0.40055,0.84712,0.88169,0.72355,0.84299,0.5462,1.22406,0.7419,0.98514,0.0006239,0.0006239,0.0006239
141,224.121,0.64859,0.39204,0.82692,0.87185,0.75728,0.84748,0.54274,1.19936,0.76547,0.98087,0.000614,0.000614,0.000614
142,225.673,0.65983,0.38447,0.83167,0.83316,0.78641,0.85515,0.54547,1.21354,0.76346,0.98609,0.0006041,0.0006041,0.0006041
143,227.217,0.65689,0.4023,0.83125,0.94375,0.71845,0.86082,0.55824,1.21857,0.72973,0.99237,0.0005942,0.0005942,0.0005942
144,228.76,0.64298,0.39379,0.84987,0.84657,0.80357,0.86998,0.55927,1.21472,0.70399,1.00071,0.0005843,0.0005843,0.0005843
145,230.294,0.64181,0.3876,0.82895,0.85247,0.80583,0.87299,0.56629,1.20664,0.70337,0.98808,0.0005744,0.0005744,0.0005744
146,231.822,0.62923,0.38269,0.83247,0.94033,0.71845,0.83442,0.54255,1.21788,0.77481,0.99253,0.0005645,0.0005645,0.0005645
